Company-Name,Ratings,Details,Reviews,Salaries,Interviews,Jobs,Benefits,Over-View
TCS,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +323 more,69.3k,848.5k,5.8k,541,11.4k,/overview/tcs-overview
Accenture,4.0,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +160 more,44k,578.9k,4.1k,7.5k,7k,/overview/accenture-overview
Cognizant,3.9,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +140 more,39.6k,558k,3.4k,525,5.8k,/overview/cognizant-overview
Wipro,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +265 more,37k,410.5k,3.4k,324,4.9k,/overview/wipro-overview
HDFC Bank,3.9,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1478 more,31.8k,130.9k,1.5k,468,3.2k,/overview/hdfc-bank-overview
ICICI Bank,4.0,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1236 more,31.8k,142.9k,1.8k,213,3.7k,/overview/icici-bank-overview
Infosys,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +160 more,30.1k,462k,4.6k,950,5.1k,/overview/infosys-overview
Capgemini,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +111 more,27.9k,371.8k,2.3k,904,3.9k,/overview/capgemini-overview
HCLTech,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +172 more,26.7k,286.9k,2.4k,634,4k,/overview/hcl-technologies-overview
Tech Mahindra,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +251 more,26.1k,250.9k,2.3k,1.2k,3.5k,/overview/tech-mahindra-overview
Genpact,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +97 more,24.9k,189.4k,1.9k,1.1k,3.6k,/overview/genpact-overview
Axis Bank,3.8,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1260 more,20.8k,98.2k,1k,309,2.2k,/overview/axis-bank-overview
Concentrix Corporation,3.9,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +103 more,20.6k,103.6k,1k,112,3.2k,/overview/concentrix-corporation-overview
Amazon,4.1,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +419 more,19.8k,140.4k,3.2k,673,4.2k,/overview/amazon-overview
Teleperformance,3.5,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +161 more,19.6k,74.2k,1.1k,276,1.9k,/overview/teleperformance-overview
Reliance Jio,3.9,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1116 more,19k,67.4k,1.1k,152,2.6k,/overview/reliance-jio-overview
IBM,4.1,Software Product | 1 Lakh+ Employees | Public | 112 years old | Armonk +141 more,18.9k,224k,1.4k,3.9k,2.7k,/overview/ibm-overview
Larsen & Toubro Limited,4.0,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +611 more,17.7k,78.1k,1k,177,2.9k,/overview/l-and-t-overview
Reliance Retail,3.9,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +945 more,17.4k,57k,1.1k,245,2k,/overview/reliance-retail-limited-overview
HDB Financial Services,4.0,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +916 more,16.7k,49.8k,546,66,1.5k,/overview/hdb-financial-services-overview
